MUKEY,BubblingPressure_Geometric_WtAvg
661627,2.04740803637e-320
661628,1.11105482437e-319
661629,4.08147630029e-320
661630,3.4218986631e-320
661631,7.12936726949e-321
661632,2.23268265356e-320
661633,2.81320978742e-320
661634,1.98070917418e-320
661635,6.17285617914e-320
661636,4.12198968325e-320
661637,5.61752639321e-320
661638,2.46736383533e-320
661639,3.5577667157e-320
661640,6.66099303723e-320
661641,3.12397707865e-320
661642,5.45596692702e-320
661643,5.77809772811e-320
661644,9.00385232981e-320
661645,7.61799819323e-320
661646,6.91543684484e-320
661647,6.97472472234e-320
661648,1.11846580906e-319
661649,4.49747957409e-320
661650,9.42529032571e-320
661651,3.56913022556e-320
661652,1.70339012717e-319
661653,9.21135990106e-320
661654,3.23563591461e-320
661655,2.69364590113e-320
661656,1.32083509759e-319
661657,1.1308174502e-319
661658,1.18150858546e-319
661659,1.95763630852e-319
661660,2.20353278045e-320
661661,1.87359574216e-319
661662,6.11006043555e-319
661663,2.21341409337e-320
661664,2.7321830215e-320
661665,9.00533452675e-320
661666,1.92982041266e-320
661667,2.93919652711e-320
661668,3.55974297829e-320
661669,1.1640186616e-320
661670,2.87990864961e-320
661671,6.79290856467e-320
661672,4.3833504099e-320
661673,2.36855070616e-320
661674,4.07900597207e-320
661675,4.46240091324e-320
661676,4.16299713186e-320
661677,2.29641712187e-320
661678,1.57310501636e-320
661679,1.63733355032e-320
661680,2.31519161641e-320
661681,1.9777447803e-320
661682,2.36756257487e-320
661683,6.37641122523e-320
661684,1.22775312992e-320
661685,2.12547040841e-320
661686,3.85865269402e-320
661687,2.28999426847e-320
661688,9.65750117926e-320
661689,6.99596954511e-321
661690,2.45550625983e-320
661691,8.61057607572e-320
661692,6.65407611819e-320
661693,1.05186576e-319
661694,3.45055447056e-320
661695,1.68856815779e-319
661696,9.80819120124e-320
661697,3.6654730265e-320
661698,2.3463177521e-320
661699,7.61651599629e-320
661700,9.95690496064e-320
661701,1.36762311425e-319
661702,2.78900057077e-320
661703,2.58939804985e-320
661704,8.64960726174e-320
661705,2.9694827512e-319
661706,8.07500891563e-320
661707,1.19267446906e-319
661708,2.99255561686e-320
661709,6.78796790821e-320
661710,3.53602782729e-320
661711,7.6921080401e-320
661712,1.31905646127e-319
661713,2.13154741585e-319
661714,9.19900825992e-320
661715,1.08936534252e-319
661716,2.73761774361e-320
661717,4.51724219993e-320
661718,2.04246737991e-320
661719,7.5379595586e-320
661720,4.13928198086e-320
661721,7.3299579217e-320
661722,3.38385560837e-320
661723,4.18473602028e-320
661724,2.4950315115e-320
661725,3.90361266779e-320
661726,4.57435618859e-319
661727,1.6985976904e-319
661728,3.80568885679e-319
661729,5.09485434648e-319
661730,3.9683352674e-319
661731,1.08901949656e-319
661732,2.55402294961e-319
661733,1.28867142405e-319
661734,2.07072793485e-319
661735,7.01573217095e-320
661736,2.22161558309e-319
661737,2.54542620737e-320
661738,3.77021494341e-320
661739,8.54733567305e-320
661740,2.9821802383e-320
661741,5.2573525374e-320
661742,3.97016331029e-319
661743,1.03635209872e-319
661744,1.36327533657e-319
661745,7.71928165062e-320
661746,4.53502856318e-320
661747,1.18822787825e-320
661748,5.54391061198e-320
661749,1.80729213249e-320
661750,8.97371432541e-320
661751,9.15207202356e-320
661752,3.25836293432e-320
661753,5.44312122023e-320
661754,1.46095211475e-319
661755,6.22078054679e-320
661756,2.19295977563e-319
661757,2.95387027679e-319
661758,3.15707947693e-320
661759,1.48610005613e-319
661760,1.75294491144e-320
661761,4.42188753028e-321
661762,1.68629545582e-319
661763,1.00196512977e-319
661764,1.61816380326e-319
661765,8.24200310392e-320
661766,5.78155618763e-320
661767,3.14324563884e-320
661768,1.68412156698e-319
661769,5.65260505407e-320
661770,8.10909944519e-320
661771,7.68766144929e-320
661772,2.71686698648e-320
661773,1.54864876689e-319
661774,1.70986238713e-319
661775,8.49249438637e-320
661776,5.96485454224e-320
661777,1.25057896275e-319
661778,3.59136317962e-320
661779,1.23506530147e-319
661780,9.13082720079e-320
661781,1.22997642532e-319
661782,7.33287290901e-319
661783,1.44608073881e-319
661784,2.68826058559e-319
661785,8.81561331875e-320
661786,1.05389142914e-319
661787,4.20662312839e-319
661788,7.12442661303e-320
661789,9.1718346494e-320
661790,2.50787721829e-320
661791,4.90261340368e-320
661792,1.3870893007e-319
661793,1.65650329738e-319
661794,6.54389947917e-320
661795,7.04587017534e-320
661796,7.5433942807e-320
661797,8.47124956359e-320
661798,6.64024228011e-320
661799,8.4465462813e-320
661800,1.24445254874e-319
661801,1.58318395553e-319
661802,3.12051861913e-320
661803,1.40581438868e-319
661804,1.89429709272e-319
661805,9.98753703068e-320
661806,1.12128198324e-319
661807,8.24447343215e-320
661808,3.82258590187e-320
661809,1.22058917805e-319
661810,1.08768551932e-319
661811,7.55920438137e-321
661812,8.58834312166e-320
661813,1.4360512062e-319
661814,2.94191388816e-319
661815,1.61193857612e-319
661816,1.15398912899e-319
661817,2.51212618284e-319
661818,1.53456789598e-319
661819,4.62593664201e-320
661820,1.23091515005e-319
661821,3.76873274648e-320
661822,1.22073739774e-319
661823,1.20176527694e-319
661824,2.62027715272e-319
661825,1.35902637202e-319
661826,8.61749299476e-320
661827,5.43225177602e-320
661828,2.61770801136e-319
661829,6.6293728359e-320
661830,3.40411229985e-320
661831,1.33442190285e-319
661832,7.21385249493e-320
661833,9.3141255554e-320
661834,2.41029925324e-319
661835,1.11021491277e-319
661836,6.77611033271e-320
661837,1.64158251487e-319
661838,9.79830988832e-320
661839,1.11026431933e-319
661840,1.51717678525e-319
661841,9.07895030798e-320
661842,7.41197281891e-320
661843,4.46832970099e-320
661844,4.44955520645e-320
661845,1.22157730934e-319
661846,1.4219703353e-319
661847,1.50368879312e-319
661848,1.38155576547e-319
661849,1.25245641221e-319
661850,1.32320661269e-319
661851,1.83263770012e-319
661852,1.05478074731e-319
661853,1.55902414545e-319
661854,4.86852287412e-320
661855,1.19450251195e-319
661856,8.35069754601e-320
661857,1.47962779617e-319
661858,1.0376366694e-319
661859,1.94567991989e-319
661860,2.66064231598e-319
661861,6.97225439411e-320
661862,6.07799557514e-320
661863,9.87538412907e-320
661864,8.73557468412e-320
661865,5.81712891413e-320
661866,3.05184349436e-319
661867,1.56154388025e-319
661868,6.7780865953e-320
661869,2.79809137866e-319
661870,3.71967202784e-319
661871,1.38338380836e-319
661872,1.7983495443e-319
661873,3.18558706469e-319
661874,0.00041226993865
661875,1.14954253818e-319
661876,9.52064499536e-320
661877,2.076072915e-309
661878,8.79486256162e-320
661879,1.51717678525e-319
661880,7.99200588713e-320
661881,9.30276204554e-320
661882,5.8447965903e-320
661883,1.47592230382e-319
661884,1.36925353088e-319
661885,1.69726371316e-319
661886,1.09064991319e-319
661887,7.42136006618e-320
661888,7.18173822795e-320
661889,4.03206973571e-320
661890,1.13768496268e-319
661891,1.3064577873e-319
661892,1.49173240449e-319
661893,1.37740561404e-319
661894,9.28151722277e-320
661895,1.0999877539e-319
661896,1.20962092071e-319
661897,2.49997216796e-320
661898,8.7439738001e-320
661899,7.16839845551e-320
661900,8.12243921763e-320
661901,1.39395681318e-319
661902,7.87688859165e-320
661903,6.55032233256e-320
661904,6.97670098492e-320
661905,5.82058737366e-320
661906,2.0569929099e-319
661907,1.91727114525e-319
661908,5.41742980665e-320
661909,1.262238912e-319
661910,1.29356267394e-319
661911,1.63007078532e-319
661912,1.39020191427e-319
661913,8.69259097293e-320
661914,5.16100973646e-320
661915,1.56470590038e-320
661916,1.123011213e-319
661917,7.98212457421e-320
661918,4.03206973571e-320
661919,2.86671709686e-319
661920,1.61327255337e-319
661921,2.31025095995e-320
661922,1.78723306727e-319
661923,2.10136000489e-319
661924,4.84628992006e-320
661925,1.65739261554e-319
661926,2.40456809174e-319
661927,2.16934343776e-319
661928,7.25782433741e-320
661929,8.0305430075e-320
661930,2.16558853885e-319
661931,6.15457575024e-320
661932,8.08340803161e-320
661933,1.60151379099e-319
661934,8.20741850871e-320
661935,5.94805631028e-320
661936,7.93321207527e-320
661937,8.32500613243e-320
661938,1.49276994234e-319
661939,1.06629247685e-319
661940,1.20230874915e-319
661941,2.48070360777e-320
661942,1.26816769975e-319
661943,2.63001024594e-319
661944,1.09766564537e-319
661946,1.91425734481e-319
661947,1.67666117573e-319
661948,5.84430252466e-320
661949,1.47775034671e-320
661950,8.19654906451e-320
661951,2.27161502645e-319
661952,1.46075448849e-319
661953,1.45339291037e-319
661954,1.83965343229e-319
661955,1.51105037124e-319
661956,1.7214729298e-319
661957,2.89374248769e-319
661958,4.51180747782e-320
661959,5.28749054179e-320
661960,5.50487942596e-320
661961,6.1120861047e-320
661962,3.40608856243e-320
661963,4.4070655609e-320
661964,6.81069492792e-320
661965,4.97227665975e-320
661966,6.49696324281e-320
661967,6.06169140883e-320
661968,6.2370847131e-320
661969,6.45447359727e-320
661970,7.34527395672e-320
661971,5.09134648039e-320
661972,5.48462273448e-320
661973,5.78501464716e-320
661974,5.22425013913e-320
661975,5.28007955711e-320
661976,4.38779700072e-320
661977,5.85418383757e-320
661978,1.58427089995e-319
661979,5.09529900556e-320
661980,5.7380784108e-320
661981,8.32895865759e-320
661982,5.19905279119e-320
661983,7.34576802237e-320
661984,8.23113365972e-320
661985,2.86869335945e-319
661986,1.09657870094e-319
661987,2.4482929014e-319
661988,7.08193696749e-320
661989,1.58856927107e-319
661990,4.69214143855e-320
661991,7.45100400493e-320
661992,2.63534615492e-320
661993,2.93919652711e-320
661994,3.11211950315e-320
661995,5.08937021781e-320
661996,8.16245853494e-320
661997,7.22373380784e-320
661998,6.8136593218e-320
661999,1.43862034756e-319
662000,4.44115609047e-320
662001,1.21668605945e-319
662002,6.63579568929e-320
662003,2.56864729273e-320
662004,4.45202553468e-320
662005,4.13730571827e-320
662006,6.61850339169e-320
662007,1.45744424867e-319
662008,4.12693033971e-320
662009,7.79289743185e-320
662010,6.97274845976e-320
662011,2.43134644975e-319
662012,2.04212153396e-319
662013,5.78303838457e-320
662014,5.20695784152e-320
662015,6.66988621886e-320
662016,4.92731668597e-320
662017,4.44856707515e-320
662018,4.48364573601e-320
662019,1.52280913361e-319
662020,1.90526535006e-319
662021,4.42979258061e-320
662022,6.34528508954e-320
662023,3.31172202407e-320
662024,2.59483277196e-320
662025,4.12198968325e-320
662026,4.14669296555e-320
662027,3.90509486473e-320
662028,5.04193991581e-320
662029,2.29083418007e-319
662030,1.35265292518e-319
662031,2.00931557507e-319
662032,6.10566325131e-320
662033,2.53011017235e-320
662034,2.93227960807e-320
662035,3.39324285564e-320
662036,1.02627315954e-319
662037,2.94858377438e-320
662038,4.65311025253e-320
662039,2.68277645692e-320
662040,3.22328427347e-320
662041,4.8294916881e-320
662042,1.52053643164e-319
662043,1.54089193625e-319
662044,4.69461176678e-320
662045,3.71636178802e-320
662046,1.31322648665e-319
662047,6.95842055603e-320
662048,8.06463353707e-320
662049,4.199063924e-320
662050,8.72964589637e-320
662051,1.59029850083e-319
662052,1.60497225052e-319
662053,1.5239454846e-319
662054,1.82547374825e-319
662055,1.66722452189e-319
662056,2.03935476634e-319
662057,1.15324803052e-319
662058,2.66469365428e-319
662059,1.38363084118e-319
662060,1.5009220255e-319
662061,2.46439944146e-319
662062,2.29967795513e-319
662063,1.69306415517e-319
662064,2.0751251191e-319
662065,1.90936609492e-319
662066,1.3728602101e-319
662067,9.93763640045e-320
662068,2.91054071965e-320
662069,4.45696619113e-320
662070,1.13393006377e-319
662071,4.60172742537e-320
662072,2.29943092231e-319
662073,8.08390209725e-320
662074,1.478738478e-320
662075,1.2788395177e-319
662076,1.49978567452e-319
662077,1.09198389044e-319
662078,5.44905000798e-320
662079,9.14070851371e-320
662080,6.9851001009e-320
662081,7.38331701145e-320
662083,5.17138511502e-320
662084,4.69955242324e-320
662085,1.76420960817e-319
662086,1.85585878547e-319
662087,1.17108380034e-319
662088,2.06168653353e-319
662089,1.20304984762e-319
662090,1.41070563857e-319
662091,1.28684338116e-319
662092,6.83589227586e-320
664152,7.85762003146e-320
664228,7.60614061773e-320
664230,1.47122868019e-319
664235,1.09825852414e-319
664293,1.63471500239e-319
664295,1.05947437094e-319
664304,4.15311581894e-320
664345,7.36256625433e-320
664364,4.45597805984e-320
664399,1.19899850933e-319
664402,1.2732565759e-319
664446,3.07862185237e-319
664447,6.24054317262e-319
664448,4.67806056765e-319
664461,1.33580528666e-319
664462,0.0
664496,7.72817483225e-320
664501,3.13336432593e-320
664504,5.23314332075e-320
664539,1.79805310491e-319
664612,1.1546808209e-319
664614,1.14440425546e-319
664627,6.36010705891e-320
664646,1.71682871273e-319
664654,9.52657378311e-320
664662,6.91494277919e-320
664663,5.47029483075e-320
664691,6.49745730846e-320
666910,4.31269902255e-320
666911,1.73273762653e-319
666912,3.75193451452e-320
666913,4.67731946918e-320
666914,8.29140966851e-320
667041,1.4328397795e-319
670344,1.14287265196e-319
670345,7.57007382558e-320
670346,8.72816369943e-320
670347,1.14366315699e-319
670418,5.56663763169e-320
670484,3.16908527212e-319
670800,9.02806154646e-320
674303,1.81850742265e-319
674305,3.12501461651e-319
674308,2.55298541176e-319
674311,3.22822492993e-320
674312,4.42584005545e-320
674313,5.31268788973e-320
674316,3.53602782729e-320
674330,2.6674604219e-320
674331,2.16400752878e-321
674333,6.21628454941e-319
674336,6.28155062123e-320
674338,3.49650257562e-320
674345,9.55374739363e-320
675751,1.54780885529e-319
675765,3.63434689081e-320
675766,3.31765081182e-320
675767,4.13187099617e-320
675768,5.55230972796e-320
675769,2.99290146281e-319
675770,8.11947482376e-320
675772,2.14533184737e-319
675780,3.7064804751e-320
677003,6.05230416156e-320
677004,6.63678382059e-320
677007,8.90059260983e-320
677069,1.53273985309e-319
677071,9.05721141956e-320
677076,2.30481623785e-320
