MUKEY,EffectivePorosity_WtAvg
661627,0.430092864214
661628,0.416415440073
661629,0.39803974197
661630,0.424873567374
661631,0.400974042553
661632,0.4475387909
661633,0.42305447619
661634,0.435421402778
661635,0.436111880774
661636,0.307600851589
661637,0.433167133047
661638,0.4150827515
661639,0.432513056113
661640,0.424495169902
661641,0.44522585166
661642,0.434836446898
661643,0.403228740438
661644,0.419232522698
661645,0.419800994223
661646,0.428602666444
661647,0.442026173374
661648,0.387749151501
661649,0.408656518127
661650,0.429543525905
661651,0.434056310384
661652,0.401906228215
661653,0.470582708232
661654,0.411764100418
661655,0.43624
661656,0.44226144268
661657,0.425158194706
661658,0.314262414075
661659,0.421998290192
661660,0.435143211268
661661,0.42763176198
661662,0.41754838837
661663,0.381371187584
661664,0.42893515304
661665,0.444340669559
661666,0.359344356449
661667,0.440364545026
661668,0.439919331598
661669,0.450274533222
661670,0.437103345196
661671,0.45568744503
661672,0.44364402444
661673,0.425586960594
661674,0.424238462217
661675,0.416009259415
661676,0.451461467264
661677,0.447213020849
661678,0.441933275272
661679,0.429851428571
661680,0.320915744475
661681,0.444597446011
661682,0.454438521484
661683,0.451277588148
661684,0.472801180633
661685,0.43578802139
661686,0.440950886076
661687,0.43571826087
661688,0.447654700588
661689,0.437689343066
661690,0.43841767762
661691,0.445613486322
661692,0.42001182246
661693,0.439588452007
661694,0.375964692952
661695,0.373116346
661696,0.434141870216
661697,0.409528141204
661698,0.443612614373
661699,0.431598181585
661700,0.420362159846
661701,0.352629739871
661702,0.454147731109
661703,0.243348234043
661704,0.417097455859
661705,0.436374011103
661706,0.448751561009
661707,0.438144460041
661708,0.444465982743
661709,0.452203140733
661710,0.411853258773
661711,0.419376846823
661712,0.439934549617
661713,0.344939333333
661714,0.405598571429
661715,0.304893658971
661716,0.393216445183
661717,0.381753038748
661718,0.0534785908917
661719,0.383377600094
661720,0.318447977361
661721,0.346479558872
661722,0.425528541657
661723,0.443300025094
661724,0.434679352828
661725,0.440039592042
661726,0.420921708128
661727,0.43876254924
661728,0.416054171837
661729,0.417924901195
661730,0.438114879354
661731,0.41347127006
661732,0.273704895105
661733,0.296566670094
661734,0.35192450036
661735,0.44401702893
661736,0.420592104564
661737,0.438907683511
661738,0.398944776151
661739,0.429804764691
661740,0.4274
661741,0.347187905459
661742,0.283218240031
661743,0.397513824652
661744,0.259332975779
661745,0.35841
661746,0.20289
661747,0.444480698599
661748,0.463178537037
661749,0.445759448129
661750,0.425712670315
661751,0.43295196684
661752,0.435132526872
661753,0.393761905962
661754,0.377770072648
661755,0.443704500854
661756,0.306185579936
661757,0.396543809219
661758,0.24950879397
661759,0.425441824981
661760,0.42900416625
661761,0.0435878991597
661762,0.436021007111
661763,0.401588177693
661764,0.273678932453
661765,0.396768275876
661766,0.359534438632
661767,0.304318854191
661768,0.435721772635
661769,0.421192031769
661770,0.386908856008
661771,0.464118637823
661772,0.452243867896
661773,0.423888253782
661774,0.370025951345
661775,0.369931260481
661776,0.392774443017
661777,0.430121738761
661778,0.30336369644
661779,0.442278052928
661780,0.432252593509
661781,0.430308940038
661782,0.308593691224
661783,0.435975893873
661784,0.42756379502
661785,0.420210279961
661786,0.439040109105
661787,0.390076728277
661788,0.40476528946
661789,0.443560273131
661790,0.457742479171
661791,0.4480752529
661792,0.423096535066
661793,0.430857272146
661794,0.451288460658
661795,0.445267755341
661796,0.454010635359
661797,0.452573031534
661798,0.423196003259
661799,0.394911886003
661800,0.438459410104
661801,0.420516466365
661802,0.440834654492
661803,0.433267586502
661804,0.428732184403
661805,0.403597400923
661806,0.437537075317
661807,0.433551074666
661808,0.352533051186
661809,0.43371888106
661810,0.256139347294
661811,0.227865690377
661812,0.416659472327
661813,0.436091619397
661814,0.442675245709
661815,0.431816851967
661816,0.411291264703
661817,0.388318759873
661818,0.41645047795
661819,0.452350279966
661820,0.378849833129
661821,0.437532771197
661822,0.426968527059
661823,0.422932786922
661824,0.417472315102
661825,0.407764289471
661826,0.414076027607
661827,0.360173606291
661828,0.425030827158
661829,0.406663072803
661830,0.472266580175
661831,0.420327197411
661832,0.366559988277
661833,0.415992522301
661834,0.374699991098
661835,0.384244656296
661836,0.408792862209
661837,0.331439484264
661838,0.31560259704
661839,0.426376623287
661840,0.301393081372
661841,0.338600398051
661842,0.252101333968
661843,0.460024573482
661844,0.174661938621
661845,0.411262557953
661846,0.332651786212
661847,0.409860574435
661848,0.426569426595
661849,0.419408571107
661850,0.411682378747
661851,0.389880631222
661852,0.453903468
661853,0.410430189619
661854,0.454213733468
661855,0.375604275857
661856,0.39960584837
661857,0.375849670867
661858,0.4193491735
661859,0.423178437448
661860,0.41706305178
661861,0.357630071951
661862,0.410751002069
661863,0.439102466369
661864,0.393684787646
661865,0.385591820746
661866,0.430862400669
661867,0.415747732634
661868,0.411197355106
661869,0.412222814928
661870,0.411889356886
661871,0.257841803279
661872,0.295586689764
661873,0.392313774937
661874,0.396721687508
661875,0.250315089324
661876,0.336877303349
661877,0.381247058713
661878,0.399199702004
661879,0.404292374221
661880,0.39818727922
661881,0.425303883038
661882,0.355320995285
661883,0.425327794702
661884,0.424171441313
661885,0.383201795498
661886,0.285876035217
661887,0.321197501701
661888,0.426307055906
661889,0.427289016156
661890,0.405150233939
661891,0.427593065087
661892,0.419158089842
661893,0.388671434508
661894,0.427911594532
661895,0.429715603615
661896,0.431568257551
661897,0.432944140717
661898,0.311810153803
661899,0.318235210765
661900,0.421018605945
661901,0.409832689321
661902,0.444044145623
661903,0.440582231318
661904,0.450230616039
661905,0.440224885805
661906,0.427157638802
661907,0.427611680368
661908,0.447829463731
661909,0.426778396321
661910,0.434440143448
661911,0.425076102785
661912,0.424325673716
661913,0.413627443587
661914,0.408212729435
661915,0.0417980793801
661916,0.43623322844
661917,0.43284704395
661918,0.0994517793594
661919,0.363754976841
661920,0.189525714286
661921,0.0767261746182
661922,0.397402680653
661923,0.359051973684
661924,0.404788723544
661925,0.37312037565
661926,0.419169342105
661927,0.306546973684
661928,0.35049481961
661929,0.137780612207
661930,0.420880804077
661931,0.408674761296
661932,0.413835877092
661933,0.419474802516
661934,0.421203281866
661935,0.42240469602
661936,0.405510100773
661937,0.438960097866
661938,0.422989698166
661939,0.434883001408
661940,0.37848631508
661941,0.437416256504
661942,0.41361423389
661943,0.405384006164
661944,0.41147965383
661946,0.337554256223
661947,0.271278182554
661948,0.0736436065574
661949,0.089451147541
661950,0.178312459016
661951,0.388019545135
661952,0.41962620373
661953,0.426459884543
661954,0.445439258872
661955,0.436968010255
661956,0.08421
661957,0.401432450331
661958,0.419468492442
661959,0.452436496459
661960,0.398822405842
661961,0.439060636627
661962,0.403339804907
661963,0.410059102511
661964,0.4283286406
661965,0.437091764107
661966,0.421488824048
661967,0.407422740248
661968,0.426463917237
661969,0.422493827078
661970,0.407510981797
661971,0.412837946836
661972,0.41712219513
661973,0.43231293847
661974,0.431037813602
661975,0.444395697662
661976,0.419138801659
661977,0.423154462417
661978,0.441928935566
661979,0.416686049129
661980,0.425920339641
661981,0.419170910475
661982,0.435469919808
661983,0.400432357382
661984,0.454618522932
661985,0.424866765618
661986,0.397923247094
661987,0.434518288076
661988,0.411433371356
661989,0.357429304348
661990,0.414392473723
661991,0.433025604199
661992,0.419276903196
661993,0.425818423172
661994,0.417049831575
661995,0.421693754833
661996,0.42527726349
661997,0.399476561331
661998,0.403356346594
661999,0.444039954106
662000,0.420218718828
662001,0.435510930462
662002,0.435868623708
662003,0.422386465919
662004,0.418348459042
662005,0.428157354023
662006,0.418477274727
662007,0.40916152897
662008,0.421370514288
662009,0.390078701068
662010,0.419697883166
662011,0.425057863167
662012,0.43653155247
662013,0.441383418106
662014,0.422972484567
662015,0.431007761108
662016,0.438162767323
662017,0.13427638191
662018,0.432189725683
662019,0.415769370363
662020,0.43658656477
662021,0.460024514931
662022,0.418416757202
662023,0.448953487978
662024,0.433666131343
662025,0.428037132557
662026,0.44117314298
662027,0.431349218005
662028,0.423581600358
662029,0.417092886366
662030,0.406716362582
662031,0.357251345941
662032,0.429669122641
662033,0.42711757333
662034,0.455620787198
662035,0.423451332035
662036,0.446788517274
662037,0.460462488788
662038,0.426299063046
662039,0.426533203708
662040,0.435335020671
662041,0.418959404574
662042,0.398306575724
662043,0.432100230174
662044,0.464303224055
662045,0.433842831161
662046,0.37517811021
662047,0.420166551733
662048,0.4195475827
662049,0.428361521244
662050,0.44329028402
662051,0.294068838912
662052,0.258620258068
662053,0.23903225113
662054,0.389422826847
662055,0.262513219276
662056,0.405736574381
662057,0.414035365987
662058,0.414848381726
662059,0.400062981015
662060,0.348494060486
662061,0.389272881019
662062,0.393220664256
662063,0.429354789883
662064,0.348652897796
662065,0.399783226617
662066,0.399247709046
662067,0.41109865189
662068,0.42024604032
662069,0.422361918819
662070,0.394423741497
662071,0.432564218942
662072,0.406251967786
662073,0.419637669967
662074,0.463714688472
662075,0.240593327622
662076,0.409154454673
662077,0.445765394337
662078,0.415485531289
662079,0.429477670457
662080,0.419724121302
662081,0.395734136193
662083,0.330985326255
662084,0.386103103565
662085,0.410444466129
662086,0.418418031405
662087,0.40051742364
662088,0.417870022119
662089,0.404513045384
662090,0.417522076707
662091,0.204783112583
662092,0.396292901962
664152,0.419637669967
664228,0.380310814928
664230,0.397459356889
664235,0.385839553512
664293,0.422507154252
664295,0.281509962105
664304,0.443459579717
664345,0.435272504489
664364,0.305276426799
664399,0.431314338313
664402,0.4402050322
664446,0.37834171724
664447,0.348333571972
664448,0.357519967187
664461,0.42686
664462,0.4617
664496,0.275042053976
664501,0.202366714515
664504,0.182845344862
664539,0.375817664288
664612,0.41174622511
664614,0.327570938364
664627,0.404303605969
664646,0.436954368788
664654,0.448774051044
664662,0.433199662744
664663,0.406362195464
664691,0.281319696958
666910,0.43786966393
666911,0.419224668619
666912,0.436858614946
666913,0.429205818725
666914,0.408818873302
667041,0.405141771567
670344,0.414920466479
670345,0.430377923552
670346,0.431875378118
670347,0.411591345062
670418,0.454708761366
670484,0.421204552235
670800,0.401254069886
674303,0.437031136367
674305,0.421531289574
674308,0.449682493266
674311,0.454657346881
674312,0.467011616162
674313,0.432212025826
674316,0.431218928464
674330,0.433938708325
674331,0.264419078947
674333,0.424337516019
674336,0.413603370707
674338,0.420417601336
674345,0.440795969231
675751,0.445661241645
675765,0.415997553978
675766,0.411320874413
675767,0.414733860878
675768,0.423101674692
675769,0.414925186744
675770,0.410999600071
675772,0.42466907245
675780,0.428453446532
677003,0.423540511026
677004,0.364460851584
677007,0.387487068591
677069,0.438723555028
677071,0.439068238993
677076,0.438564143426
