PoreSizeDistribution_geometric_WtAvg,MUKEY
0.215799889167,661627
0.234147685982,661628
0.16240575681,661629
0.214790816042,661630
0.181448723404,661631
0.216464227363,661632
0.212995047619,661633
0.219521782853,661634
0.228074068556,661635
0.137469768312,661636
0.2133523937,661637
0.206563735921,661638
0.196657144984,661639
0.191255688971,661640
0.207638902817,661641
0.204474060765,661642
0.156241162641,661643
0.191020318245,661644
0.203311031393,661645
0.228865734619,661646
0.343019923378,661647
0.298262522795,661648
0.183996065844,661649
0.207921093155,661650
0.225842750095,661651
0.277505266118,661652
0.199492144664,661653
0.205438242678,661654
0.21894,661655
0.263072328563,661656
0.278680064847,661657
0.303951209016,661658
0.503616221196,661659
0.22013343662,661660
0.48686570166,661661
0.333599306441,661662
0.17558884278,661663
0.217688438116,661664
0.285961020685,661665
0.162347439785,661666
0.212741751532,661667
0.19501806112,661668
0.216712638481,661669
0.219678882562,661670
0.210182381077,661671
0.214971130297,661672
0.212509032659,661673
0.184835437289,661674
0.204331530789,661675
0.215986509992,661676
0.216622069042,661677
0.221895525429,661678
0.217548571429,661679
0.157503558771,661680
0.219991839599,661681
0.2195360661,661682
0.216599637388,661683
0.202553162871,661684
0.219832994652,661685
0.218796962025,661686
0.219702608696,661687
0.310200115353,661688
0.219361459854,661689
0.221699861601,661690
0.255572039752,661691
0.224908167042,661692
0.296138564688,661693
0.175623236341,661694
0.247004623024,661695
0.214742092379,661696
0.185480343982,661697
0.216894129638,661698
0.224446488283,661699
0.190286218589,661700
0.172798068897,661701
0.212054549633,661702
0.119310536541,661703
0.174101221417,661704
0.305748615904,661705
0.22907497507,661706
0.359926850115,661707
0.21818857991,661708
0.260063945785,661709
0.202619051366,661710
0.239523242036,661711
0.282610264734,661712
0.31252,661713
0.452269285714,661714
0.264611747865,661715
0.202964269103,661716
0.173386428349,661717
0.0263216282362,661718
0.190877990897,661719
0.181354842561,661720
0.189103562029,661721
0.200727538265,661722
0.217814375295,661723
0.22504207167,661724
0.215277011677,661725
0.365733722373,661726
0.267294216724,661727
0.502102546116,661728
0.39551783487,661729
0.300959835853,661730
0.26796837859,661731
0.218738601399,661732
0.351161630503,661733
0.364369440152,661734
0.241717446497,661735
0.415454528875,661736
0.218968073605,661737
0.198852898814,661738
0.247209138792,661739
0.21524,661740
0.185236583481,661741
0.229541707607,661742
0.27374534305,661743
0.271479446367,661744
0.30766,661745
0.24014,661746
0.217125340321,661747
0.230096556501,661748
0.218859506141,661749
0.267734515276,661750
0.233738319512,661751
0.207115114519,661752
0.18473242573,661753
0.289774348184,661754
0.243322008391,661755
0.154544151726,661756
0.269269962014,661757
0.118059045226,661758
0.326161988056,661759
0.205294894535,661760
0.0219674789916,661761
0.283254672439,661762
0.219430936858,661763
0.197994156454,661764
0.162862333313,661765
0.157989458823,661766
0.14011040363,661767
0.316956936023,661768
0.191643906968,661769
0.196970263559,661770
0.213663942055,661771
0.21684240748,661772
0.331461093009,661773
0.230209893294,661774
0.177557725331,661775
0.203845997996,661776
0.374630273515,661777
0.149256825834,661778
0.259457853069,661779
0.252056238092,661780
0.235163188021,661781
0.226779689795,661782
0.264495228279,661783
0.294703022018,661784
0.207343444076,661785
0.243847115765,661786
0.275684199282,661787
0.231792990324,661788
0.224419182582,661789
0.213009504806,661790
0.20952424088,661791
0.263857114964,661792
0.298450107619,661793
0.253085438554,661794
0.23593705465,661795
0.298170101997,661796
0.234926624411,661797
0.230581988274,661798
0.222301650654,661799
0.242357006754,661800
0.410043687734,661801
0.188854797975,661802
0.347562675312,661803
0.416126966657,661804
0.216717886746,661805
0.287034235932,661806
0.240275161641,661807
0.166196175649,661808
0.306022526136,661809
0.163062572178,661810
0.09775041841,661811
0.207223726802,661812
0.228663608821,661813
0.290529613653,661814
0.180076961697,661815
0.19655396341,661816
0.310677221494,661817
0.290565300691,661818
0.224617649335,661819
0.184954565587,661820
0.179872519698,661821
0.193148997159,661822
0.189140290491,661823
0.315723196731,661824
0.307091648013,661825
0.232297734625,661826
0.180042804548,661827
0.23920836268,661828
0.175424839088,661829
0.202229058958,661830
0.181574191236,661831
0.207385185762,661832
0.227717500553,661833
0.239377823273,661834
0.290294945133,661835
0.19761042785,661836
0.232146555549,661837
0.286945961356,661838
0.210336521832,661839
0.250828503098,661840
0.254453679373,661841
0.216921465569,661842
0.217437956384,661843
0.114042347323,661844
0.208591897098,661845
0.263696021363,661846
0.255886449408,661847
0.201808606013,661848
0.231803288882,661849
0.217438356576,661850
0.174621894597,661851
0.205602721634,661852
0.266328660554,661853
0.200499161599,661854
0.16566382635,661855
0.206192181622,661856
0.185466396822,661857
0.215367563387,661858
0.310219450544,661859
0.297388880009,661860
0.171043509404,661861
0.178796708736,661862
0.248322355761,661863
0.193646337682,661864
0.155072127706,661865
0.310171122453,661866
0.24864670443,661867
0.199574804978,661868
0.299739025201,661869
0.36212876468,661870
0.26883704918,661871
0.309508181511,661872
0.257271463625,661873
0.245599560294,661874
0.154875476107,661875
0.152554710121,661876
0.202685871571,661877
0.217654550627,661878
0.173494450615,661879
0.172963959181,661880
0.256712375722,661881
0.129569674516,661882
0.246633667125,661883
0.165351818179,661884
0.170745179618,661885
0.179939280917,661886
0.189044967423,661887
0.223932671676,661888
0.207191897701,661889
0.347122693036,661890
0.252470891926,661891
0.367725829584,661892
0.307762447804,661893
0.251818791729,661894
0.293471016512,661895
0.278489629634,661896
0.226552443734,661897
0.205640395269,661898
0.188553036299,661899
0.325799541057,661900
0.252905581599,661901
0.280590065625,661902
0.281387999901,661903
0.256463067246,661904
0.267915064456,661905
0.306859727106,661906
0.302224725248,661907
0.190841024721,661908
0.307281080308,661909
0.201275652357,661910
0.323817239704,661911
0.309419704225,661912
0.253029973637,661913
0.236113385878,661914
0.0304860454689,661915
0.165775652705,661916
0.182135944542,661917
0.0670871530249,661918
0.143322538019,661919
0.242637142857,661920
0.0536069978498,661921
0.364626569453,661922
0.355395657895,661923
0.212003937067,661924
0.288645956661,661925
0.324971447368,661926
0.239939736842,661927
0.175706795274,661928
0.142640095657,661929
0.179622600975,661930
0.164169525587,661931
0.177925314559,661932
0.258765779827,661933
0.189978879621,661934
0.208047708808,661935
0.258658217367,661936
0.193284034385,661937
0.238747450026,661938
0.228879428156,661939
0.171552505371,661940
0.185891994769,661941
0.258999392373,661942
0.235031477409,661943
0.238659100317,661944
0.315260139648,661946
0.305564096337,661947
0.0961140983607,661948
0.0472572131148,661949
0.147746885246,661950
0.362026548552,661951
0.242371483233,661952
0.281511454138,661953
0.248240371582,661954
0.271450106822,661955
0.09954,661956
0.436927682119,661957
0.172322090594,661958
0.199898949167,661959
0.180653437001,661960
0.228048550079,661961
0.136192790407,661962
0.164659668071,661963
0.188472793167,661964
0.187785971839,661965
0.199541896254,661966
0.193338151817,661967
0.192457623049,661968
0.207892758702,661969
0.191318522174,661970
0.182101672431,661971
0.200635022099,661972
0.185051099299,661973
0.216224147261,661974
0.217124577267,661975
0.214856186098,661976
0.217872296667,661977
0.253643281423,661978
0.197891477483,661979
0.222929048506,661980
0.193647593996,661981
0.214993871288,661982
0.190300412676,661983
0.201875718259,661984
0.290416989378,661985
0.228606414717,661986
0.283038660287,661987
0.218390190732,661988
0.245146330435,661989
0.200514286477,661990
0.204330738731,661991
0.206903705005,661992
0.214121675239,661993
0.209396319629,661994
0.212468205103,661995
0.228402389154,661996
0.210783275808,661997
0.213988352687,661998
0.256393164282,661999
0.208081932863,662000
0.257675382512,662001
0.200921791629,662002
0.193965821468,662003
0.203426053323,662004
0.198037997032,662005
0.223192331648,662006
0.346069053324,662007
0.209535302242,662008
0.345139430605,662009
0.193709971422,662010
0.263350663036,662011
0.284208674393,662012
0.217235963979,662013
0.19972720782,662014
0.216103112158,662015
0.214893289297,662016
0.0909271356784,662017
0.206838401712,662018
0.282634019383,662019
0.309501637323,662020
0.196616774756,662021
0.210791720165,662022
0.190669488993,662023
0.21379821231,662024
0.194533898254,662025
0.20333368983,662026
0.211778629746,662027
0.217104337796,662028
0.306777920673,662029
0.324714126867,662030
0.269242828553,662031
0.232507059489,662032
0.204290511094,662033
0.209471559107,662034
0.208378378716,662035
0.236411063105,662036
0.218761611459,662037
0.218331290162,662038
0.20692563503,662039
0.207581925088,662040
0.185797590691,662041
0.262941045591,662042
0.260086523401,662043
0.211362839331,662044
0.210322144985,662045
0.257580090169,662046
0.180852661755,662047
0.217627302277,662048
0.201031389067,662049
0.256842219883,662050
0.250918509381,662051
0.246938514664,662052
0.226917511826,662053
0.264206571997,662054
0.198825140394,662055
0.28097547404,662056
0.249568872204,662057
0.256265748733,662058
0.368132601016,662059
0.248368358811,662060
0.266552766128,662061
0.358988205973,662062
0.261169433377,662063
0.3638164817,662064
0.336719016662,662065
0.282012164575,662066
0.229229612183,662067
0.200872781403,662068
0.206688118081,662069
0.452448843537,662070
0.225295664467,662071
0.242177082676,662072
0.233483175068,662073
0.212835889316,662074
0.177464574318,662075
0.257067935464,662076
0.257416354381,662077
0.195295759958,662078
0.190173977176,662079
0.161183567059,662080
0.152623625255,662081
0.140944307717,662083
0.171863147687,662084
0.260787455189,662085
0.323720930539,662086
0.253835029368,662087
0.275313462626,662088
0.270951019518,662089
0.254346156981,662090
0.196195364238,662091
0.191778455771,662092
0.233483175068,664152
0.217005649725,664228
0.227856102836,664230
0.210862667886,664235
0.258377593279,664293
0.192966505415,664295
0.208183980436,664304
0.208680996865,664345
0.157197146402,664364
0.231661042273,664399
0.236346883161,664402
0.261102275686,664446
0.270605926912,664447
0.24407623807,664448
0.19667,664461
0.20045,664462
0.153962880306,664496
0.105956869503,664501
0.10187257523,664504
0.282123039367,664539
0.228278334218,664612
0.211697379218,664614
0.194490308217,664627
0.267733678538,664646
0.215866113962,664654
0.205062052033,664662
0.185221332579,664663
0.177789193405,664691
0.19198155132,666910
0.427172175374,666911
0.241346084595,666912
0.267707060751,666913
0.209844976037,666914
0.164785197962,667041
0.163666006689,670344
0.336784361488,670345
0.328138879557,670346
0.170055125468,670347
0.197421630587,670418
0.309890910926,670484
0.190274402725,670800
0.326420954844,674303
0.271171636839,674305
0.254742879714,674308
0.201028010871,674311
0.23350030303,674312
0.223688489677,674313
0.206600541648,674316
0.195742939507,674330
0.113239473684,674331
0.204136476851,674333
0.155518319434,674336
0.194386804189,674338
0.196471949475,674345
0.311841564762,675751
0.205195008244,675765
0.201202538126,675766
0.205628105713,675767
0.215075407014,675768
0.360125447398,675769
0.204957703272,675770
0.252005991073,675772
0.210236524686,675780
0.212932754415,677003
0.201599581343,677004
0.214290336526,677007
0.283382862162,677069
0.226771539329,677071
0.217022111554,677076
